datetime,estimated_leverage_ratio
2020-03-13 02:00:00,0.05469533
2020-03-13 03:00:00,0.05401396
2020-03-13 04:00:00,0.05528982
2020-03-13 05:00:00,0.05733335
2020-03-13 06:00:00,0.06012913
2020-03-13 07:00:00,0.0605087
2020-03-13 08:00:00,0.06038285
2020-03-13 09:00:00,0.05958372
2020-03-13 10:00:00,0.06346502
2020-03-13 11:00:00,0.06314553
2020-03-13 12:00:00,0.06444324
2020-03-13 13:00:00,0.06029927
2020-03-13 14:00:00,0.05854741
2020-03-13 15:00:00,0.05667454
2020-03-13 16:00:00,0.05614729
2020-03-13 17:00:00,0.05686514
2020-03-13 18:00:00,0.05408903
2020-03-13 19:00:00,0.05034232
2020-03-13 20:00:00,0.05218334
2020-03-13 21:00:00,0.05144868
2020-03-13 22:00:00,0.05214908
2020-03-13 23:00:00,0.05248204
2020-03-14 00:00:00,0.05185824
2020-03-14 01:00:00,0.05059227
2020-03-14 02:00:00,0.05008179
2020-03-14 03:00:00,0.05139854
2020-03-14 04:00:00,0.05267225
2020-03-14 05:00:00,0.05370258
2020-03-14 06:00:00,0.05301054
2020-03-14 07:00:00,0.05382521
2020-03-14 08:00:00,0.05387959
2020-03-14 09:00:00,0.05571337
2020-03-14 10:00:00,0.05535615
2020-03-14 11:00:00,0.05552419
2020-03-14 12:00:00,0.05511078
2020-03-14 13:00:00,0.05540479
2020-03-14 14:00:00,0.05516108
2020-03-14 15:00:00,0.05687879
2020-03-14 16:00:00,0.05664148
2020-03-14 17:00:00,0.05576756
2020-03-14 18:00:00,0.05601078
2020-03-14 19:00:00,0.05656562
2020-03-14 20:00:00,0.05521682
2020-03-14 21:00:00,0.05622487
2020-03-14 22:00:00,0.05595103
2020-03-14 23:00:00,0.05687872
2020-03-15 00:00:00,0.05546498
2020-03-15 01:00:00,0.05688644
2020-03-15 02:00:00,0.05688675
2020-03-15 03:00:00,0.05771678
2020-03-15 04:00:00,0.05860073
2020-03-15 05:00:00,0.05978674
2020-03-15 06:00:00,0.06105779
2020-03-15 07:00:00,0.06299063
2020-03-15 08:00:00,0.06311404
2020-03-15 09:00:00,0.06350338
2020-03-15 10:00:00,0.06488518
2020-03-15 11:00:00,0.06611521
2020-03-15 12:00:00,0.06304789
2020-03-15 13:00:00,0.06230697
2020-03-15 14:00:00,0.06394133
2020-03-15 15:00:00,0.06460526
2020-03-15 16:00:00,0.06414509
2020-03-15 17:00:00,0.06212279
2020-03-15 18:00:00,0.06200271
2020-03-15 19:00:00,0.06174748
2020-03-15 20:00:00,0.06344709
2020-03-15 21:00:00,0.05791679
2020-03-15 22:00:00,0.05876249
2020-03-15 23:00:00,0.05978785
2020-03-16 00:00:00,0.06219993
2020-03-16 01:00:00,0.06323428
2020-03-16 02:00:00,0.06172165
2020-03-16 03:00:00,0.06193264
2020-03-16 04:00:00,0.0612515
2020-03-16 05:00:00,0.06460323
2020-03-16 06:00:00,0.06241463
2020-03-16 07:00:00,0.06577534
2020-03-16 08:00:00,0.06898631
2020-03-16 09:00:00,0.07016479
2020-03-16 10:00:00,0.06646803
2020-03-16 11:00:00,0.06721212
2020-03-16 12:00:00,0.06505816
2020-03-16 13:00:00,0.06184675
2020-03-16 14:00:00,0.06282422
2020-03-16 15:00:00,0.06677552
2020-03-16 16:00:00,0.06662927
2020-03-16 17:00:00,0.06687202
2020-03-16 18:00:00,0.06681988
2020-03-16 19:00:00,0.06525588
2020-03-16 20:00:00,0.06406167
2020-03-16 21:00:00,0.06498103
2020-03-16 22:00:00,0.06558715
2020-03-16 23:00:00,0.0662122
2020-03-17 00:00:00,0.06566324
2020-03-17 01:00:00,0.06252009
2020-03-17 02:00:00,0.06413723
2020-03-17 03:00:00,0.06468667
2020-03-17 04:00:00,0.06616273
2020-03-17 05:00:00,0.06636241
2020-03-17 06:00:00,0.06623011
2020-03-17 07:00:00,0.06828833
2020-03-17 08:00:00,0.06805756
2020-03-17 09:00:00,0.06862193
2020-03-17 10:00:00,0.06910794
2020-03-17 11:00:00,0.06989761
2020-03-17 12:00:00,0.06956611
2020-03-17 13:00:00,0.06743368
2020-03-17 14:00:00,0.06965793
2020-03-17 15:00:00,0.0718717
2020-03-17 16:00:00,0.06832518
2020-03-17 17:00:00,0.0701498
2020-03-17 18:00:00,0.06971053
2020-03-17 19:00:00,0.06986662
2020-03-17 20:00:00,0.07071238
2020-03-17 21:00:00,0.06812102
2020-03-17 22:00:00,0.0694049
2020-03-17 23:00:00,0.06891049
2020-03-18 00:00:00,0.0691066
2020-03-18 01:00:00,0.06984187
2020-03-18 02:00:00,0.07105173
2020-03-18 03:00:00,0.07217559
2020-03-18 04:00:00,0.07479543
2020-03-18 05:00:00,0.07428326
2020-03-18 06:00:00,0.07595412
2020-03-18 07:00:00,0.07895
2020-03-18 08:00:00,0.07623421
2020-03-18 09:00:00,0.07508368
2020-03-18 10:00:00,0.07597952
2020-03-18 11:00:00,0.07728373
2020-03-18 12:00:00,0.07986435
2020-03-18 13:00:00,0.07768376
2020-03-18 14:00:00,0.07835378
2020-03-18 15:00:00,0.07554898
2020-03-18 16:00:00,0.07515563
2020-03-18 17:00:00,0.07535843
2020-03-18 18:00:00,0.07610543
2020-03-18 19:00:00,0.07756492
2020-03-18 20:00:00,0.07740145
2020-03-18 21:00:00,0.07823127
2020-03-18 22:00:00,0.07675305
2020-03-18 23:00:00,0.07862932
2020-03-19 00:00:00,0.07684347
