date,mvrv
2019-01-01,0.87135999
2019-01-02,0.86571546
2019-01-03,0.83476314
2019-01-04,0.84000523
2019-01-05,0.86111067
2019-01-06,0.90004007
2019-01-07,0.89429251
2019-01-08,0.89421822
2019-01-09,0.89913243
2019-01-10,0.80775301
2019-01-11,0.81341158
2019-01-12,0.82393783
2019-01-13,0.79345011
2019-01-14,0.82069114
2019-01-15,0.80557354
2019-01-16,0.80868484
2019-01-17,0.81811952
2019-01-18,0.80776961
2019-01-19,0.82675082
2019-01-20,0.79515208
2019-01-21,0.80233687
2019-01-22,0.80395566
2019-01-23,0.8060775
2019-01-24,0.80383583
2019-01-25,0.80355616
2019-01-26,0.81732449
2019-01-27,0.80735726
2019-01-28,0.78523824
2019-01-29,0.77470142
2019-01-30,0.78871752
2019-01-31,0.78440185
2019-02-01,0.79827545
2019-02-02,0.80499122
2019-02-03,0.78610886
2019-02-04,0.77438679
2019-02-05,0.78021365
2019-02-06,0.77207228
2019-02-07,0.77546451
2019-02-08,0.82741652
2019-02-09,0.83742697
2019-02-10,0.84737799
2019-02-11,0.8379991
2019-02-12,0.82611626
2019-02-13,0.8219632
2019-02-14,0.81687123
2019-02-15,0.8182913
2019-02-16,0.81953716
2019-02-17,0.85144785
2019-02-18,0.90583947
2019-02-19,0.90946692
2019-02-20,0.91923835
2019-02-21,0.90994488
2019-02-22,0.9265514
2019-02-23,0.96396718
2019-02-24,0.86267282
2019-02-25,0.88350901
2019-02-26,0.88026294
2019-02-27,0.89236522
2019-02-28,0.89197351
2019-03-01,0.89487444
2019-03-02,0.87743858
2019-03-03,0.88910249
2019-03-04,0.85848959
2019-03-05,0.88769696
2019-03-06,0.88566556
2019-03-07,0.88958516
2019-03-08,0.88757193
2019-03-09,0.9075007
2019-03-10,0.91419497
2019-03-11,0.90983553
2019-03-12,0.90417126
2019-03-13,0.90251282
2019-03-14,0.90213184
2019-03-15,0.91638406
2019-03-16,0.94083733
2019-03-17,0.92988743
2019-03-18,0.93569533
2019-03-19,0.93648474
2019-03-20,0.94513932
2019-03-21,0.93129373
2019-03-22,0.9336427
2019-03-23,0.92097892
2019-03-24,0.92952714
2019-03-25,0.91453826
2019-03-26,0.91068251
2019-03-27,0.93303699
2019-03-28,0.92798641
2019-03-29,0.95568877
2019-03-30,0.95603353
2019-03-31,0.96224849
2019-04-01,0.97039982
2019-04-02,1.13432196
2019-04-03,1.13902507
2019-04-04,1.13021058
2019-04-05,1.16267756
2019-04-06,1.16949754
2019-04-07,1.20273914
2019-04-08,1.21744249
2019-04-09,1.18220389
2019-04-10,1.2195468
2019-04-11,1.1581054
2019-04-12,1.17094114
2019-04-13,1.16892332
2019-04-14,1.18969606
2019-04-15,1.15597792
2019-04-16,1.19172484
2019-04-17,1.19387617
2019-04-18,1.20769405
2019-04-19,1.20870339
2019-04-20,1.21019908
2019-04-21,1.21466589
2019-04-22,1.22662803
2019-04-23,1.2625935
2019-04-24,1.24381773
2019-04-25,1.18276859
2019-04-26,1.20375072
2019-04-27,1.23187766
2019-04-28,1.2242049
2019-04-29,1.22775205
2019-04-30,1.21117686
2019-05-01,1.22545283
2019-05-02,1.27121091
2019-05-03,1.32188586
2019-05-04,1.35789036
2019-05-05,1.37316165
2019-05-06,1.36132888
2019-05-07,1.34163786
2019-05-08,1.37783165
2019-05-09,1.42043966
2019-05-10,1.44616061
2019-05-11,1.61730924
2019-05-12,1.57387746
2019-05-13,1.74684854
2019-05-14,1.77058347
2019-05-15,1.80823849
2019-05-16,1.73073381
2019-05-17,1.62534807
2019-05-18,1.59733963
2019-05-19,1.79790493
2019-05-20,1.75072797
2019-05-21,1.73826612
2019-05-22,1.66696807
2019-05-23,1.71675421
2019-05-24,1.74210284
2019-05-25,1.75296435
2019-05-26,1.89374197
2019-05-27,1.90427267
2019-05-28,1.88694754
2019-05-29,1.84716996
2019-05-30,1.76004257
2019-05-31,1.81981996
2019-06-01,1.81440429
2019-06-02,1.85081864
2019-06-03,1.7136675
2019-06-04,1.63108604
2019-06-05,1.65293107
2019-06-06,1.66138531
2019-06-07,1.69829652
2019-06-08,1.6766478
2019-06-09,1.62002745
2019-06-10,1.6979737
2019-06-11,1.67171375
2019-06-12,1.72706589
2019-06-13,1.73990239
2019-06-14,1.83330718
