a_sopr,date,lth_sopr,sopr,sth_sopr
0.94825891,2019-01-01,0.41568031,0.97900317,0.98486863
0.99094862,2019-01-02,0.56963012,0.99685395,1.00164822
0.9561669,2019-01-03,0.46463775,0.9801973,0.97184835
0.97796175,2019-01-04,0.52678593,0.98976032,0.98914199
0.9910753,2019-01-05,0.58397875,0.99664972,0.99756596
0.96305932,2019-01-06,0.45487665,0.98486897,1.00154656
0.9860462,2019-01-07,0.68266728,0.99360484,0.99931961
0.96326088,2019-01-08,0.4342105,0.98339876,1.00030762
0.99383161,2019-01-09,0.6645706,0.99735565,0.99990014
0.87401735,2019-01-10,0.34864567,0.94223152,0.96382898
0.8194288,2019-01-11,0.50207806,0.90069767,0.97644249
0.96572658,2019-01-12,0.48856374,0.98690081,0.98069266
0.9597246,2019-01-13,0.55557495,0.98389179,0.97237471
0.96949005,2019-01-14,1.36679615,0.98723142,0.9551926
1.01036005,2019-01-15,2.31654439,1.00511679,0.93889457
0.99834701,2019-01-16,1.62336686,0.99924203,0.98395527
0.96408823,2019-01-17,0.481786,0.98284795,0.98556764
0.97522563,2019-01-18,0.50343572,0.98820235,0.9831087
0.96926942,2019-01-19,0.43662847,0.9865516,1.00165567
0.96239988,2019-01-20,0.46966114,0.98580805,0.97817902
0.97114129,2019-01-21,1.27056145,0.99278992,0.9611862
0.90717081,2019-01-22,0.27298295,0.963517,0.98128266
0.97252879,2019-01-23,0.47694338,0.99010844,0.98964905
0.98143701,2019-01-24,0.52956853,0.99465468,0.98952446
0.96336601,2019-01-25,0.31761089,0.99163769,0.98589532
0.96353906,2019-01-26,0.38009073,0.98949215,0.9930997
0.96333316,2019-01-27,0.45353862,0.9864533,0.98621857
0.94442886,2019-01-28,0.44122333,0.98243365,0.96796572
0.95015331,2019-01-29,0.43141773,0.9843318,0.97710514
0.95001707,2019-01-30,0.62883594,0.98880604,0.98117471
0.96808585,2019-01-31,0.52929553,0.99329484,0.98194852
0.96452134,2019-02-01,0.46376748,0.99341321,0.97123745
0.97684211,2019-02-02,0.5199801,0.99539551,0.98566806
0.97173122,2019-02-03,0.42669407,0.9895109,0.98697519
0.93885646,2019-02-04,0.35206453,0.98926893,0.97216652
0.96985341,2019-02-05,0.51641766,0.99602989,0.98795538
0.94437529,2019-02-06,0.6189678,0.99369709,0.96742617
0.95272986,2019-02-07,0.50676342,0.99281727,0.97345938
0.97782809,2019-02-08,0.46468309,0.9971471,1.00328074
1.00303541,2019-02-09,0.67412209,1.00062972,1.01141988
0.98987253,2019-02-10,0.58417411,0.99600672,0.99919991
0.97591012,2019-02-11,0.53423382,0.99595155,0.99804487
0.97477936,2019-02-12,0.49443801,0.9962815,0.98899898
0.90639716,2019-02-13,0.43840238,0.98774128,0.9781925
0.98040521,2019-02-14,0.69492374,0.997582,0.98818603
0.97560443,2019-02-15,0.4594537,0.99549111,0.99055511
0.94470414,2019-02-16,0.42460145,0.97710185,0.99883943
0.97004558,2019-02-17,0.38945314,0.9890358,0.9987091
0.99264188,2019-02-18,0.47131976,0.99783109,1.02560957
0.98848964,2019-02-19,0.59179345,0.99682948,1.02016891
1.0269057,2019-02-20,1.60641687,1.01064643,1.00959261
0.97561307,2019-02-21,0.61358883,0.98993799,1.00339258
0.99720146,2019-02-22,0.62093966,0.99908595,1.00819321
0.96450269,2019-02-23,0.58283668,0.98849719,1.01715848
0.98756454,2019-02-24,0.56840317,0.99478973,1.00262839
0.96772545,2019-02-25,0.58572669,0.98878822,0.98720556
0.98987119,2019-02-26,0.66841659,0.99740185,0.99681615
0.98545848,2019-02-27,0.50350876,0.9951864,0.99680617
0.98999107,2019-02-28,0.93450133,0.99619318,1.00015662
0.99044799,2019-03-01,0.62793463,0.99721803,0.99704472
0.98428889,2019-03-02,0.45999533,0.99513247,1.00896062
0.99096702,2019-03-03,0.5076108,0.99837616,0.99944492
0.95246207,2019-03-04,0.63332515,0.98748672,0.95826271
0.99757501,2019-03-05,0.69869701,0.99955472,1.00672741
0.99151364,2019-03-06,0.55899444,0.9972308,1.00278861
0.99485905,2019-03-07,0.64576899,0.99829997,1.00283312
0.98532598,2019-03-08,0.53811184,0.99491227,1.00343678
0.99427001,2019-03-09,0.5282333,0.9976949,1.00402088
0.98553071,2019-03-10,0.66312522,0.99390578,1.00202208
0.97896418,2019-03-11,0.55562784,0.99245421,0.99791163
0.97537272,2019-03-12,0.60618793,0.99269949,1.00033549
0.99103753,2019-03-13,0.66552126,0.9965393,0.99783765
0.98812942,2019-03-14,0.50049823,0.99575424,1.00154602
0.99296418,2019-03-15,0.54688526,0.99765316,1.00866376
0.97057309,2019-03-16,0.42486257,0.98772653,0.98430019
1.000803,2019-03-17,0.62286705,1.00020802,1.00721493
0.98821307,2019-03-18,0.57934989,0.99751777,1.00361484
